epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,920.339,0.77241,0.73275,1.17323,0.89513,0.80392,0.89069,0.66488,1.00443,0.85559,1.29075,0.000703961,0.000703961,0.000703961
43,942.544,0.78063,0.71413,1.16979,0.89128,0.77263,0.86058,0.65599,1.004,0.95343,1.26816,0.000686277,0.000686277,0.000686277
44,963.598,0.75223,0.68994,1.15215,0.95749,0.80355,0.90892,0.69363,0.94434,0.78908,1.24053,0.000668593,0.000668593,0.000668593
45,986.036,0.74959,0.67478,1.14918,0.91543,0.83912,0.9029,0.68974,0.95805,0.79025,1.22436,0.000650909,0.000650909,0.000650909
46,1008.33,0.75591,0.67445,1.14216,0.86864,0.84181,0.89915,0.70912,0.90464,0.79545,1.20473,0.000633226,0.000633226,0.000633226
47,1029.74,0.73842,0.66798,1.13942,0.92565,0.81843,0.89506,0.6818,0.93068,0.81509,1.23587,0.000615542,0.000615542,0.000615542
48,1052.05,0.73483,0.65982,1.14486,0.91622,0.82874,0.90374,0.68784,0.954,0.805,1.24942,0.000597858,0.000597858,0.000597858
49,1074.15,0.74073,0.64728,1.14036,0.90178,0.82848,0.90475,0.69014,0.9699,0.78317,1.26584,0.000580174,0.000580174,0.000580174
50,1095.55,0.71859,0.62764,1.13216,0.89659,0.84623,0.91052,0.71117,0.93588,0.72839,1.21328,0.00056249,0.00056249,0.00056249
51,1117.6,0.71684,0.63272,1.12966,0.90811,0.86778,0.91301,0.70649,0.95001,0.82213,1.22385,0.000544806,0.000544806,0.000544806
52,1140,0.7066,0.62522,1.11103,0.89946,0.88495,0.91975,0.72308,0.89759,0.77346,1.19583,0.000527122,0.000527122,0.000527122
53,1161.8,0.71767,0.63041,1.12957,0.9102,0.8316,0.9012,0.71838,0.90085,0.76845,1.20129,0.000509438,0.000509438,0.000509438
54,1183.28,0.70448,0.61438,1.11147,0.91584,0.83647,0.90784,0.70813,0.9125,0.78379,1.21828,0.000491755,0.000491755,0.000491755
55,1205.46,0.69363,0.59019,1.11459,0.93096,0.8541,0.91376,0.70878,0.93748,0.7542,1.23342,0.000474071,0.000474071,0.000474071
56,1227.69,0.69913,0.59999,1.11724,0.92862,0.86267,0.92306,0.71878,0.89053,0.70662,1.18371,0.000456387,0.000456387,0.000456387
57,1248.95,0.69871,0.60365,1.11457,0.89353,0.86452,0.9162,0.71668,0.9034,0.73248,1.18102,0.000438703,0.000438703,0.000438703
58,1271.09,0.67547,0.58477,1.09743,0.89703,0.87333,0.91879,0.7175,0.90141,0.73725,1.19992,0.000421019,0.000421019,0.000421019
59,1293.16,0.67089,0.57737,1.10135,0.91358,0.87491,0.9147,0.72267,0.86603,0.72877,1.18488,0.000403335,0.000403335,0.000403335
60,1314.4,0.6704,0.58199,1.10623,0.95335,0.83639,0.92083,0.72853,0.86654,0.73762,1.16488,0.000385651,0.000385651,0.000385651
61,1336.57,0.66527,0.57842,1.1018,0.92997,0.86631,0.92369,0.73337,0.86762,0.72956,1.17151,0.000367967,0.000367967,0.000367967
62,1358.83,0.65176,0.54464,1.09291,0.93366,0.85497,0.91308,0.73741,0.87141,0.73167,1.177,0.000350284,0.000350284,0.000350284
63,1380.44,0.65593,0.54589,1.09567,0.91008,0.88829,0.92025,0.7305,0.85583,0.7251,1.16394,0.0003326,0.0003326,0.0003326
64,1402.1,0.64703,0.54005,1.08444,0.95042,0.84951,0.91122,0.72555,0.89068,0.72812,1.18825,0.000314916,0.000314916,0.000314916
65,1424.32,0.63213,0.53084,1.07917,0.91471,0.86663,0.91853,0.7319,0.87007,0.72308,1.18838,0.000297232,0.000297232,0.000297232
66,1446.57,0.62904,0.52345,1.07642,0.95488,0.84662,0.91631,0.74209,0.89376,0.70621,1.1971,0.000279548,0.000279548,0.000279548
67,1468.21,0.63421,0.53437,1.0808,0.96278,0.84541,0.92964,0.73164,0.85609,0.70087,1.16314,0.000261864,0.000261864,0.000261864
68,1490.5,0.61725,0.51961,1.06311,0.92481,0.88873,0.93241,0.74912,0.8608,0.70456,1.16214,0.00024418,0.00024418,0.00024418
69,1512.91,0.60963,0.49595,1.06729,0.96111,0.86109,0.93196,0.75068,0.85411,0.69426,1.16585,0.000226497,0.000226497,0.000226497
70,1534.34,0.61791,0.51162,1.06677,0.92944,0.88302,0.92918,0.75281,0.87757,0.69117,1.19356,0.000208813,0.000208813,0.000208813
71,1557.65,0.53365,0.41538,1.01392,0.96438,0.8676,0.93233,0.75404,0.85745,0.63193,1.19091,0.000191129,0.000191129,0.000191129
72,1579.46,0.51945,0.3774,0.99799,0.94018,0.87643,0.92776,0.75195,0.87305,0.66594,1.20231,0.000173445,0.000173445,0.000173445
73,1600.27,0.50074,0.35662,0.99398,0.94141,0.89905,0.93394,0.75935,0.84251,0.66067,1.16732,0.000155761,0.000155761,0.000155761
74,1622.12,0.48893,0.34506,0.98221,0.93938,0.9033,0.93429,0.75754,0.842,0.66702,1.15674,0.000138077,0.000138077,0.000138077
75,1643.76,0.48956,0.34433,0.98731,0.93107,0.90533,0.93391,0.76041,0.86207,0.65484,1.19866,0.000120393,0.000120393,0.000120393
76,1664.58,0.48534,0.3336,0.98657,0.92502,0.89678,0.93507,0.76193,0.85512,0.65654,1.18294,0.000102709,0.000102709,0.000102709
77,1686.37,0.47818,0.33012,0.97966,0.9267,0.90366,0.93181,0.7597,0.82528,0.6625,1.15924,8.50255e-05,8.50255e-05,8.50255e-05
78,1709.21,0.46708,0.31928,0.96958,0.92442,0.90451,0.9276,0.75815,0.83479,0.65677,1.16358,6.73416e-05,6.73416e-05,6.73416e-05
79,1729.94,0.46031,0.31633,0.96048,0.93791,0.90197,0.92926,0.75792,0.82743,0.66331,1.15526,4.96578e-05,4.96578e-05,4.96578e-05
80,1751.87,0.45903,0.31601,0.96562,0.9335,0.90231,0.92883,0.75882,0.82139,0.65284,1.14989,3.19739e-05,3.19739e-05,3.19739e-05
